param_idx,mode,atr_period,breakout_period,stop_period,stop_atr_multiple,alpha,sharpe,cagr,max_drawdown,total_trades,calmar,annual_vol
0,A,14,19,11,1.5,0.0,1.0087,11.1464,13.3611,41,0.8342,0.0
0,A,14,20,11,1.5,0.0,0.8085,10.1327,13.3584,40,0.7585,0.0
0,A,14,19,13,1.5,0.0,1.3272,12.7428,15.4588,34,0.8243,0.0
0,A,14,19,12,1.5,0.0,1.0796,11.6936,13.2524,41,0.8824,0.0
0,A,14,20,12,1.5,0.0,0.8815,10.8019,13.3211,40,0.8109,0.0
0,A,14,21,11,1.5,0.0,0.6916,8.5371,13.2836,42,0.6427,0.0
0,A,14,20,13,1.5,0.0,0.9444,10.8851,15.5095,35,0.7018,0.0
0,A,14,21,12,1.5,0.0,0.7649,9.2084,13.2841,42,0.6932,0.0
0,A,15,19,11,1.5,0.0,0.7704,8.8301,13.3663,43,0.6606,0.0
0,A,14,21,13,1.5,0.0,0.8621,9.8062,15.421,36,0.6359,0.0
0,A,15,19,12,1.5,0.0,0.8793,9.7488,13.3575,42,0.7298,0.0
0,A,15,19,13,1.5,0.0,1.3253,12.5537,15.2329,34,0.8241,0.0
0,A,15,20,11,1.5,0.0,0.856,9.8365,13.4209,40,0.7329,0.0
0,A,15,20,13,1.5,0.0,1.0804,10.9929,15.2844,34,0.7192,0.0
0,A,15,20,12,1.5,0.0,0.9458,10.5336,13.3672,40,0.788,0.0
0,A,15,21,11,1.5,0.0,0.5921,7.6079,17.004,42,0.4474,0.0
0,A,15,21,12,1.5,0.0,0.7632,9.553,13.3493,43,0.7156,0.0
0,A,16,19,11,1.5,0.0,0.8254,9.8741,13.3939,42,0.7372,0.0
0,A,15,21,13,1.5,0.0,0.7013,8.3895,15.1862,37,0.5524,0.0
0,A,16,19,12,1.5,0.0,0.8859,10.3378,13.3605,42,0.7738,0.0
0,A,16,19,13,1.5,0.0,1.0747,11.3762,15.1166,35,0.7526,0.0
0,A,16,20,11,1.5,0.0,0.8599,10.5268,13.372,40,0.7872,0.0
0,A,16,20,12,1.5,0.0,0.9475,11.1176,13.3814,40,0.8308,0.0
0,A,16,20,13,1.5,0.0,1.0926,11.5386,15.1229,35,0.763,0.0
0,A,16,21,11,1.5,0.0,0.619,8.2343,16.9581,42,0.4856,0.0
0,A,16,21,12,1.5,0.0,0.6784,8.7889,14.7133,42,0.5973,0.0
0,A,16,21,13,1.5,0.0,0.7763,9.3054,15.0742,37,0.6173,0.0
0,B,14,19,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
0,B,14,19,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
0,B,14,19,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
0,B,14,20,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
0,B,14,20,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
0,B,14,21,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
0,B,14,20,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
0,B,14,21,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
0,B,14,21,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
0,B,15,19,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
0,B,15,19,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
0,B,15,19,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
0,B,15,20,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
0,B,15,20,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
0,B,15,20,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
0,B,15,21,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
0,B,15,21,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
0,B,16,19,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
0,B,15,21,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
0,B,16,19,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
0,B,16,19,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
0,B,16,20,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
0,B,16,20,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
0,B,16,20,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
0,B,16,21,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
0,B,16,21,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
0,B,16,21,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
1,A,14,19,11,1.5,0.0,1.0087,11.1464,13.3611,41,0.8342,0.0
1,A,14,19,12,1.5,0.0,1.0796,11.6936,13.2524,41,0.8824,0.0
1,A,14,20,11,1.5,0.0,0.8085,10.1327,13.3584,40,0.7585,0.0
1,A,14,19,13,1.5,0.0,1.3272,12.7428,15.4588,34,0.8243,0.0
1,A,14,20,12,1.5,0.0,0.8815,10.8019,13.3211,40,0.8109,0.0
1,A,14,20,13,1.5,0.0,0.9444,10.8851,15.5095,35,0.7018,0.0
1,A,14,21,11,1.5,0.0,0.6916,8.5371,13.2836,42,0.6427,0.0
1,A,14,21,12,1.5,0.0,0.7649,9.2084,13.2841,42,0.6932,0.0
1,A,14,21,13,1.5,0.0,0.8621,9.8062,15.421,36,0.6359,0.0
1,A,15,19,11,1.5,0.0,0.7704,8.8301,13.3663,43,0.6606,0.0
1,A,15,19,13,1.5,0.0,1.3253,12.5537,15.2329,34,0.8241,0.0
1,A,15,19,12,1.5,0.0,0.8793,9.7488,13.3575,42,0.7298,0.0
1,A,15,20,11,1.5,0.0,0.856,9.8365,13.4209,40,0.7329,0.0
1,A,15,20,12,1.5,0.0,0.9458,10.5336,13.3672,40,0.788,0.0
1,A,15,20,13,1.5,0.0,1.0804,10.9929,15.2844,34,0.7192,0.0
1,A,15,21,11,1.5,0.0,0.5921,7.6079,17.004,42,0.4474,0.0
1,A,15,21,12,1.5,0.0,0.7632,9.553,13.3493,43,0.7156,0.0
1,A,15,21,13,1.5,0.0,0.7013,8.3895,15.1862,37,0.5524,0.0
1,A,16,19,11,1.5,0.0,0.8254,9.8741,13.3939,42,0.7372,0.0
1,A,16,19,12,1.5,0.0,0.8859,10.3378,13.3605,42,0.7738,0.0
1,A,16,19,13,1.5,0.0,1.0747,11.3762,15.1166,35,0.7526,0.0
1,A,16,20,11,1.5,0.0,0.8599,10.5268,13.372,40,0.7872,0.0
1,A,16,20,13,1.5,0.0,1.0926,11.5386,15.1229,35,0.763,0.0
1,A,16,20,12,1.5,0.0,0.9475,11.1176,13.3814,40,0.8308,0.0
1,A,16,21,11,1.5,0.0,0.619,8.2343,16.9581,42,0.4856,0.0
1,A,16,21,12,1.5,0.0,0.6784,8.7889,14.7133,42,0.5973,0.0
1,B,14,19,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
1,A,16,21,13,1.5,0.0,0.7763,9.3054,15.0742,37,0.6173,0.0
1,B,14,19,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
1,B,14,19,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
1,B,14,20,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
1,B,14,20,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
1,B,14,20,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
1,B,14,21,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
1,B,14,21,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
1,B,14,21,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
1,B,15,19,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
1,B,15,19,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
1,B,15,20,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
1,B,15,19,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
1,B,15,20,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
1,B,15,20,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
1,B,15,21,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
1,B,15,21,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
1,B,15,21,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
1,B,16,19,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
1,B,16,19,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
1,B,16,19,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
1,B,16,20,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
1,B,16,20,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
1,B,16,20,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
1,B,16,21,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
1,B,16,21,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
1,B,16,21,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
2,A,14,19,12,1.5,0.0,1.0796,11.6936,13.2524,41,0.8824,0.0
2,A,14,19,11,1.5,0.0,1.0087,11.1464,13.3611,41,0.8342,0.0
2,A,14,19,13,1.5,0.0,1.3272,12.7428,15.4588,34,0.8243,0.0
2,A,14,20,11,1.5,0.0,0.8085,10.1327,13.3584,40,0.7585,0.0
2,A,14,20,12,1.5,0.0,0.8815,10.8019,13.3211,40,0.8109,0.0
2,A,14,20,13,1.5,0.0,0.9444,10.8851,15.5095,35,0.7018,0.0
2,A,14,21,11,1.5,0.0,0.6916,8.5371,13.2836,42,0.6427,0.0
2,A,14,21,12,1.5,0.0,0.7649,9.2084,13.2841,42,0.6932,0.0
2,A,14,21,13,1.5,0.0,0.8621,9.8062,15.421,36,0.6359,0.0
2,A,15,19,11,1.5,0.0,0.7704,8.8301,13.3663,43,0.6606,0.0
2,A,15,19,12,1.5,0.0,0.8793,9.7488,13.3575,42,0.7298,0.0
2,A,15,19,13,1.5,0.0,1.3253,12.5537,15.2329,34,0.8241,0.0
2,A,15,20,11,1.5,0.0,0.856,9.8365,13.4209,40,0.7329,0.0
2,A,15,20,12,1.5,0.0,0.9458,10.5336,13.3672,40,0.788,0.0
2,A,15,20,13,1.5,0.0,1.0804,10.9929,15.2844,34,0.7192,0.0
2,A,15,21,11,1.5,0.0,0.5921,7.6079,17.004,42,0.4474,0.0
2,A,15,21,12,1.5,0.0,0.7632,9.553,13.3493,43,0.7156,0.0
2,A,15,21,13,1.5,0.0,0.7013,8.3895,15.1862,37,0.5524,0.0
2,A,16,19,11,1.5,0.0,0.8254,9.8741,13.3939,42,0.7372,0.0
2,A,16,19,12,1.5,0.0,0.8859,10.3378,13.3605,42,0.7738,0.0
2,A,16,19,13,1.5,0.0,1.0747,11.3762,15.1166,35,0.7526,0.0
2,A,16,20,11,1.5,0.0,0.8599,10.5268,13.372,40,0.7872,0.0
2,A,16,20,12,1.5,0.0,0.9475,11.1176,13.3814,40,0.8308,0.0
2,A,16,20,13,1.5,0.0,1.0926,11.5386,15.1229,35,0.763,0.0
2,A,16,21,11,1.5,0.0,0.619,8.2343,16.9581,42,0.4856,0.0
2,A,16,21,12,1.5,0.0,0.6784,8.7889,14.7133,42,0.5973,0.0
2,A,16,21,13,1.5,0.0,0.7763,9.3054,15.0742,37,0.6173,0.0
2,B,14,19,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
2,B,14,19,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
2,B,14,19,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
2,B,14,20,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
2,B,14,20,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
2,B,14,20,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
2,B,14,21,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
2,B,14,21,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
2,B,14,21,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
2,B,15,19,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
2,B,15,19,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
2,B,15,19,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
2,B,15,20,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
2,B,15,20,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
2,B,15,20,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
2,B,15,21,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
2,B,15,21,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
2,B,15,21,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
2,B,16,19,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
2,B,16,19,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
2,B,16,19,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
2,B,16,20,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
2,B,16,20,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
2,B,16,20,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
2,B,16,21,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
2,B,16,21,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
2,B,16,21,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
3,A,14,19,11,1.5,0.0,1.0087,11.1464,13.3611,41,0.8342,0.0
3,A,14,19,12,1.5,0.0,1.0796,11.6936,13.2524,41,0.8824,0.0
3,A,14,19,13,1.5,0.0,1.3272,12.7428,15.4588,34,0.8243,0.0
3,A,14,20,11,1.5,0.0,0.8085,10.1327,13.3584,40,0.7585,0.0
3,A,14,20,12,1.5,0.0,0.8815,10.8019,13.3211,40,0.8109,0.0
3,A,14,20,13,1.5,0.0,0.9444,10.8851,15.5095,35,0.7018,0.0
3,A,14,21,11,1.5,0.0,0.6916,8.5371,13.2836,42,0.6427,0.0
3,A,14,21,12,1.5,0.0,0.7649,9.2084,13.2841,42,0.6932,0.0
3,A,14,21,13,1.5,0.0,0.8621,9.8062,15.421,36,0.6359,0.0
3,A,15,19,11,1.5,0.0,0.7704,8.8301,13.3663,43,0.6606,0.0
3,A,15,19,13,1.5,0.0,1.3253,12.5537,15.2329,34,0.8241,0.0
3,A,15,19,12,1.5,0.0,0.8793,9.7488,13.3575,42,0.7298,0.0
3,A,15,20,11,1.5,0.0,0.856,9.8365,13.4209,40,0.7329,0.0
3,A,15,20,12,1.5,0.0,0.9458,10.5336,13.3672,40,0.788,0.0
3,A,15,21,11,1.5,0.0,0.5921,7.6079,17.004,42,0.4474,0.0
3,A,15,20,13,1.5,0.0,1.0804,10.9929,15.2844,34,0.7192,0.0
3,A,15,21,12,1.5,0.0,0.7632,9.553,13.3493,43,0.7156,0.0
3,A,15,21,13,1.5,0.0,0.7013,8.3895,15.1862,37,0.5524,0.0
3,A,16,19,11,1.5,0.0,0.8254,9.8741,13.3939,42,0.7372,0.0
3,A,16,19,12,1.5,0.0,0.8859,10.3378,13.3605,42,0.7738,0.0
3,A,16,19,13,1.5,0.0,1.0747,11.3762,15.1166,35,0.7526,0.0
3,A,16,20,11,1.5,0.0,0.8599,10.5268,13.372,40,0.7872,0.0
3,A,16,20,12,1.5,0.0,0.9475,11.1176,13.3814,40,0.8308,0.0
3,A,16,20,13,1.5,0.0,1.0926,11.5386,15.1229,35,0.763,0.0
3,A,16,21,11,1.5,0.0,0.619,8.2343,16.9581,42,0.4856,0.0
3,A,16,21,12,1.5,0.0,0.6784,8.7889,14.7133,42,0.5973,0.0
3,A,16,21,13,1.5,0.0,0.7763,9.3054,15.0742,37,0.6173,0.0
3,B,14,19,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
3,B,14,19,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
3,B,14,19,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
3,B,14,20,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
3,B,14,20,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
3,B,14,20,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
3,B,14,21,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
3,B,14,21,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
3,B,14,21,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
3,B,15,19,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
3,B,15,19,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
3,B,15,19,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
3,B,15,20,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
3,B,15,20,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
3,B,15,20,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
3,B,15,21,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
3,B,15,21,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
3,B,15,21,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
3,B,16,19,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
3,B,16,19,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
3,B,16,19,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
3,B,16,20,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
3,B,16,20,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
3,B,16,20,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
3,B,16,21,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
3,B,16,21,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
3,B,16,21,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
4,A,14,19,11,1.5,0.0,1.0087,11.1464,13.3611,41,0.8342,0.0
4,A,14,19,12,1.5,0.0,1.0796,11.6936,13.2524,41,0.8824,0.0
4,A,14,19,13,1.5,0.0,1.3272,12.7428,15.4588,34,0.8243,0.0
4,A,14,20,11,1.5,0.0,0.8085,10.1327,13.3584,40,0.7585,0.0
4,A,14,20,12,1.5,0.0,0.8815,10.8019,13.3211,40,0.8109,0.0
4,A,14,20,13,1.5,0.0,0.9444,10.8851,15.5095,35,0.7018,0.0
4,A,14,21,11,1.5,0.0,0.6916,8.5371,13.2836,42,0.6427,0.0
4,A,14,21,12,1.5,0.0,0.7649,9.2084,13.2841,42,0.6932,0.0
4,A,14,21,13,1.5,0.0,0.8621,9.8062,15.421,36,0.6359,0.0
4,A,15,19,11,1.5,0.0,0.7704,8.8301,13.3663,43,0.6606,0.0
4,A,15,19,12,1.5,0.0,0.8793,9.7488,13.3575,42,0.7298,0.0
4,A,15,19,13,1.5,0.0,1.3253,12.5537,15.2329,34,0.8241,0.0
4,A,15,20,11,1.5,0.0,0.856,9.8365,13.4209,40,0.7329,0.0
4,A,15,20,12,1.5,0.0,0.9458,10.5336,13.3672,40,0.788,0.0
4,A,15,20,13,1.5,0.0,1.0804,10.9929,15.2844,34,0.7192,0.0
4,A,15,21,11,1.5,0.0,0.5921,7.6079,17.004,42,0.4474,0.0
4,A,15,21,12,1.5,0.0,0.7632,9.553,13.3493,43,0.7156,0.0
4,A,15,21,13,1.5,0.0,0.7013,8.3895,15.1862,37,0.5524,0.0
4,A,16,19,11,1.5,0.0,0.8254,9.8741,13.3939,42,0.7372,0.0
4,A,16,19,12,1.5,0.0,0.8859,10.3378,13.3605,42,0.7738,0.0
4,A,16,19,13,1.5,0.0,1.0747,11.3762,15.1166,35,0.7526,0.0
4,A,16,20,11,1.5,0.0,0.8599,10.5268,13.372,40,0.7872,0.0
4,A,16,20,12,1.5,0.0,0.9475,11.1176,13.3814,40,0.8308,0.0
4,A,16,20,13,1.5,0.0,1.0926,11.5386,15.1229,35,0.763,0.0
4,A,16,21,11,1.5,0.0,0.619,8.2343,16.9581,42,0.4856,0.0
4,A,16,21,12,1.5,0.0,0.6784,8.7889,14.7133,42,0.5973,0.0
4,A,16,21,13,1.5,0.0,0.7763,9.3054,15.0742,37,0.6173,0.0
4,B,14,19,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
4,B,14,19,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
4,B,14,19,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
4,B,14,20,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
4,B,14,20,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
4,B,14,20,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
4,B,14,21,11,1.5,0.0,0.3761,4.9775,19.0657,29,0.2611,0.0
4,B,14,21,12,1.5,0.0,0.3988,5.205,17.5359,30,0.2968,0.0
4,B,14,21,13,1.5,0.0,0.538,6.7003,18.7923,27,0.3565,0.0
4,B,15,19,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
4,B,15,19,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
4,B,15,19,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
4,B,15,20,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
4,B,15,20,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
4,B,15,20,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
4,B,15,21,11,1.5,0.0,0.2388,3.4204,24.1571,29,0.1416,0.0
4,B,15,21,12,1.5,0.0,0.2565,3.6264,23.2156,30,0.1562,0.0
4,B,15,21,13,1.5,0.0,0.3842,5.1653,24.1573,27,0.2138,0.0
4,B,16,19,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
4,B,16,19,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
4,B,16,19,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
4,B,16,20,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
4,B,16,20,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
4,B,16,20,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
4,B,16,21,11,1.5,0.0,0.2602,3.8983,26.8081,29,0.1454,0.0
4,B,16,21,12,1.5,0.0,0.272,4.0065,27.0044,30,0.1484,0.0
4,B,16,21,13,1.5,0.0,0.3863,5.4559,23.1328,29,0.2359,0.0
